sample_id,template_id,media_class,difficulty,n_checked,checked_codes,checked_labels_as_printed,cancelled_codes,variants,modifiers,is_blank,is_not_lab_request,stress_case,n_ambiguous_marks,primary_mark_style,order_profile,image
0000012,tpl_01_onecol_sans,scan,easy,14,BUN;CREATININE;ECG_12L;ELECTROLYTES;FBS;FECALYSIS;FT4;HBSAG_SCREENING;LIVER_PROFILE;TSH;URIC_ACID;URINALYSIS;VDRL_RPR;XR_CHEST_PA_L,"BUN;Creatinine;12-lead ECG;Serum Electrolytes (Na, K, Cl);FBS (Fasting Blood Sugar);Fecalysis;FT4;HBsAg Screening;Liver Profile;TSH;BUA;Urinalysis;VDRL/RPR;Chest PA/L",,,,false,false,,0,tick_overflowing,broad,media/0000012_scan.png
0000013,tpl_01_onecol_sans,scan,easy,2,CBC_PLT;URINALYSIS,CBC w/ PLT CT;Urinalysis,,,,false,false,,0,filled_scribble,sparse,media/0000013_scan.png
0000014,tpl_01_onecol_sans,scan,easy,8,BUN;CBC_PLT;ECG_12L;ELECTROLYTES;PTT;PT_PROTHROMBIN;URINALYSIS;XR_CHEST_PA_L,"BUN;CBC w/ Platelet Count;Electrocardiogram;Serum Electrolytes (Na, K, Cl);PTT (Partial Thromboplastin);PT (Prothrombin);Urinalysis;Chest PA / L",,,,false,false,,0,filled_scribble,preoperative_clearance,media/0000014_scan.png
0000015,tpl_01_onecol_sans,scan,easy,8,BUN;CBC_PLT;CREATININE;ECG_12L;PTT;PT_PROTHROMBIN;URINALYSIS;XR_CHEST_PA_L,BUN;CBC w/ Platelet Count;Creatinine;12-lead ECG;PTT (Partial Thromboplastin);PT (Prothrombin Time);Urinalysis;Chest PA / L,,,,false,false,,1,cross,preoperative_clearance,media/0000015_scan.png
0000016,tpl_01_onecol_sans,scan,easy,9,BUN;CBC_PLT;CREATININE;ECG_12L;ELECTROLYTES;PTT;PT_PROTHROMBIN;URINALYSIS;XR_CHEST_PA_L,"BUN;CBC w/ PLT CT;Creatinine;12L ECG;Serum Electrolytes (Na, K, Cl);PTT (Partial Thromboplastin);PT (Prothrombin Time);Urinalysis;Chest PA and lateral",,,,false,false,,0,circle_around_label,preoperative_clearance,media/0000016_scan.png
0000017,tpl_01_onecol_sans,scan,easy,4,FBS;HBA1C;LIPID_PROFILE;URINALYSIS,Fasting Blood Sugar;HbA1c;Lipid Panel;Urinalysis,,,,false,false,,0,filled_scribble,diabetes_monitoring,media/0000017_scan.png
0000018,tpl_01_onecol_sans,scan,easy,5,FBS;FECALYSIS;PPBS_2HR;URINALYSIS;XR_CHEST_PA_L,FBS;Fecalysis;2-hr PPBS;Urinalysis;Chest PA / L,,,,false,false,,0,cross,annual_physical,media/0000018_scan.png
0000019,tpl_01_onecol_sans,scan,easy,4,FBS;HBA1C;LIPID_PROFILE;URINALYSIS,FBS (Fasting Blood Sugar);HbA1c;Lipid Profile;Urinalysis,CREATININE,,,false,false,,0,cross,diabetes_monitoring,media/0000019_scan.png
0000020,tpl_01_onecol_sans,photocopy_gen1,medium,8,BUN;CBC_PLT;CREATININE;ECG_12L;ELECTROLYTES;PTT;URINALYSIS;XR_CHEST_PA_L,BUN;CBC with Platelet Count;Creat;Electrocardiogram;Lytes;PTT (Partial Thromboplastin);Urinalysis;Chest PA/L,,,,false,false,,0,tick_in_box,preoperative_clearance,media/0000020_photocopy_gen1.png
0000021,tpl_01_onecol_sans,photocopy_gen1,medium,4,BUN;CA_SERUM;CREATININE;URIC_ACID,BUN;Calcium (Ca);Creatinine;BUA,URINALYSIS,CA_SERUM=total,,false,false,,1,cross,renal_panel,media/0000021_photocopy_gen1.png
0000022,tpl_01_onecol_sans,photocopy_gen1,medium,2,CBC_PLT;URINALYSIS,CBC w/ Platelet Count;Urinalysis,,,,false,false,,0,tick_overflowing,sparse,media/0000022_photocopy_gen1.png
0000023,tpl_01_onecol_sans,photocopy_gen1,medium,16,BUN;CBC_PLT;CREATININE;ECG_12L;ELECTROLYTES;FBS;FECALYSIS;FT4;HBA1C;HBSAG_SCREENING;LIPID_PROFILE;LIVER_PROFILE;URIC_ACID;URINALYSIS;VDRL_RPR;XR_CHEST_PA_L,"BUN;CBC w/ Platelet Count;Serum Creatinine;Electrocardiography;Serum Electrolytes (Na, K, Cl);FBS;Fecalysis;FT4;HbA1c;HBsAg Screening;Lipid Profile;Liver Profile;BUA;Urinalysis;VDRL / RPR;Chest PA-L",,,,false,false,,0,tick_in_box,broad,media/0000023_photocopy_gen1.png
0000024,tpl_01_onecol_sans,photocopy_gen1,medium,2,CBC_PLT;URINALYSIS,CBC w/ PLT CT;Urinalysis,,,,false,false,,0,tick_in_box,sparse,media/0000024_photocopy_gen1.png
0000025,tpl_01_onecol_sans,photocopy_gen1,medium,4,FT3;FT4;TSH;US_THYROID,FT3;FT4;TSH;Thyroid,,,,false,false,,1,tick_overflowing,thyroid_workup,media/0000025_photocopy_gen1.png
0000026,tpl_01_onecol_sans,photocopy_gen1,medium,5,FBS;FECALYSIS;LIPID_PROFILE;URINALYSIS;XR_CHEST_PA_L,Fasting Blood Sugar;Fecalysis;Lipid Profile;Urinalysis;Chest PA / L,CBC_PLT,,,false,false,,0,tick_overflowing,annual_physical,media/0000026_photocopy_gen1.png
0000027,tpl_01_onecol_sans,photocopy_gen1,medium,9,BUN;CBC_PLT;CREATININE;ECG_12L;ELECTROLYTES;PTT;PT_PROTHROMBIN;URINALYSIS;XR_CHEST_PA_L,"BUN;CBC with Platelet Count;Serum Creatinine;12-lead ECG;Serum Electrolytes (Na, K, Cl);PTT (Partial Thromboplastin);PT (Prothrombin);Urinalysis;Chest PA-L",,,,false,false,,2,tick_in_box,preoperative_clearance,media/0000027_photocopy_gen1.png
0000028,tpl_01_onecol_sans,photocopy_gen1,medium,8,BUN;CBC_PLT;ECG_12L;ELECTROLYTES;PTT;PT_PROTHROMBIN;URINALYSIS;XR_CHEST_PA_L,"BUN;CBC w/ Platelet Count;12L ECG;Serum Electrolytes (Na, K, Cl);PTT (Partial Thromboplastin);PT (Prothrombin Time);Urinalysis;Chest PA and lateral",,,,false,false,,1,tick_in_box,preoperative_clearance,media/0000028_photocopy_gen1.png
0000029,tpl_01_onecol_sans,photocopy_gen1,medium,5,CBC_PLT;HBSAG_SCREENING;PREGNANCY_TEST;URINALYSIS;VDRL_RPR,CBC w/ Platelet Count;HBsAg Screening;Pregnancy Test;Urinalysis;VDRL/RPR,,PREGNANCY_TEST=urine,,false,false,,1,tick_in_box,prenatal,media/0000029_photocopy_gen1.png
0000030,tpl_01_onecol_sans,photocopy_gen3,hard,5,CBC_PLT;FBS;LIPID_PROFILE;URINALYSIS;XR_CHEST_PA_L,CBC w/ Platelet Count;FBS (Fasting Blood Sugar);Lipid Profile;Urinalysis;Chest PA and lateral,,,,false,false,,0,filled_scribble,annual_physical,media/0000030_photocopy_gen3.png
0000031,tpl_01_onecol_sans,photocopy_gen3,hard,8,BUN;CBC_PLT;CREATININE;ECG_12L;ELECTROLYTES;PTT;PT_PROTHROMBIN;URINALYSIS,"BUN;CBC c Platelet Count;Creatinine;12-lead ECG;Serum Electrolytes (Na, K, Cl);PTT (Partial Thromboplastin);PT (Prothrombin);Urinalysis",,,,false,false,,0,diagonal_slash,preoperative_clearance,media/0000031_photocopy_gen3.png
0000032,tpl_01_onecol_sans,photocopy_gen3,hard,2,HBSAG_SCREENING;VDRL_RPR,HBsAg Screening;VDRL / RPR,,,,false,false,,0,tick_overflowing,hepatitis_screen,media/0000032_photocopy_gen3.png
0000033,tpl_01_onecol_sans,photocopy_gen3,hard,3,CBC_PLT;MAMMOGRAM;US_BREAST,CBC with Platelet Count;Mammogram;Breast,,,,false,false,,0,tick_in_box,breast_mass_workup,media/0000033_photocopy_gen3.png
0000034,tpl_01_onecol_sans,photocopy_gen3,hard,6,BUN;CA_SERUM;CREATININE;ELECTROLYTES;URIC_ACID;URINALYSIS,"Blood Urea Nitrogen;Calcium (Ca);Creatinine;Serum Electrolytes (Na, K, Cl);BUA;Urinalysis",,CA_SERUM=ionized,,false,false,,0,tick_overflowing,renal_panel,media/0000034_photocopy_gen3.png
0000035,tpl_01_onecol_sans,photocopy_gen3,hard,5,FBS;HBA1C;LIPID_PROFILE;T3;URINALYSIS,FBS (Fasting Blood Sugar);HbA1c;Lipid Profile;T3;Urinalysis,,,,false,false,,0,diagonal_slash,diabetes_monitoring,media/0000035_photocopy_gen3.png
0000036,tpl_01_onecol_sans,photocopy_gen3,hard,9,BUN;CBC_PLT;CREATININE;ECG_12L;ELECTROLYTES;PTT;PT_PROTHROMBIN;URINALYSIS;XR_CHEST_PA_L,"Serum BUN;CBC w/ Platelet Count;Creat;12L ECG;Serum Electrolytes (Na, K, Cl);PTT (Partial Thromboplastin);PT (Prothrombin Time);Urinalysis;Chest PA/L",,,,false,false,,0,tick_in_box,preoperative_clearance,media/0000036_photocopy_gen3.png
0000037,tpl_01_onecol_sans,photocopy_gen3,hard,5,CBC_PLT;FBS;FECALYSIS;LIPID_PROFILE;URINALYSIS,CBC w/ Platelet Count;FBS (Fasting Blood Sugar);Fecalysis;Lipid Profile;Urinalysis,XR_CHEST_PA_L,,,false,false,,1,tick_overflowing,annual_physical,media/0000037_photocopy_gen3.png
0000038,tpl_01_onecol_sans,photocopy_gen3,hard,9,BUN;CBC_PLT;CREATININE;ECG_12L;ELECTROLYTES;OGCT_50G;PTT;URINALYSIS;XR_CHEST_PA_L,"BUN;CBC + PLT;Creatinine;12-lead ECG;Serum Electrolytes (Na, K, Cl);OGCT (50 Grams);PTT (Partial Thromboplastin);Urinalysis;Chest PA / L",,,,false,false,,1,tick_overflowing,preoperative_clearance,media/0000038_photocopy_gen3.png
0000039,tpl_01_onecol_sans,photocopy_gen3,hard,2,CBC_PLT;URINALYSIS,CBC with Platelet Count;Urinalysis,,,,false,false,,0,tick_overflowing,sparse,media/0000039_photocopy_gen3.png
0000040,tpl_01_onecol_sans,fax,hard,4,FT3;FT4;TSH;US_THYROID,FT3;FT4;TSH;Thyroid,,,,false,false,,0,cross,thyroid_workup,media/0000040_fax.png
0000041,tpl_01_onecol_sans,fax,hard,4,FT3;FT4;TSH;US_THYROID,Free Triiodothyronine;FT4;TSH;Thyroid Ultrasound,,,,false,false,,0,diagonal_slash,thyroid_workup,media/0000041_fax.png
0000042,tpl_01_onecol_sans,fax,hard,8,BLOOD_TYPING_RH;CBC_PLT;HBSAG_SCREENING;OGTT;PREGNANCY_TEST;URIC_ACID;URINALYSIS;VDRL_RPR,Blood Typing/Rh;CBC w/ PLT CT;HBsAg Screening;OGTT;Pregnancy Test;BUA;Urinalysis;VDRL / RPR,,OGTT=g75;PREGNANCY_TEST=urine,,false,false,,0,tick_in_box,prenatal,media/0000042_fax.png
0000043,tpl_01_onecol_sans,fax,hard,5,CBC_PLT;FECALYSIS;LIPID_PROFILE;URINALYSIS;XR_CHEST_PA_L,CBC w/ PLT;Fecalysis;Lipid Profile;Urinalysis;Chest PA and lateral,,,,false,false,,0,cross,annual_physical,media/0000043_fax.png
0000044,tpl_01_onecol_sans,fax,hard,2,FT3;TSH,FT3;TSH,,,,false,false,,0,tick_overflowing,thyroid_workup,media/0000044_fax.png
0000045,tpl_01_onecol_sans,fax,hard,2,CBC_PLT;URINALYSIS,CBC w/ Platelet Count;Urinalysis,,,,false,false,,0,tick_in_box,sparse,media/0000045_fax.png
0000046,tpl_01_onecol_sans,fax,hard,3,HBSAG_SCREENING;LIVER_PROFILE;VDRL_RPR,HBsAg Screening;Liver Profile;RPR,,,,false,false,,0,diagonal_slash,hepatitis_screen,media/0000046_fax.png
0000047,tpl_01_onecol_sans,fax,hard,10,BUN;CBC_PLT;CREATININE;ECG_12L;ELECTROLYTES;PTT;PT_PROTHROMBIN;URINALYSIS;US_KUB;XR_CHEST_PA_L,"BUN;CBC w/ PLT CT;Creatinine;12-lead ECG;Serum Electrolytes (Na, K, Cl);PTT (Partial Thromboplastin);PT (Prothrombin);Urinalysis;KUB;Chest PA/L",,,,false,false,,0,tick_in_box,preoperative_clearance,media/0000047_fax.png
0000048,tpl_01_onecol_sans,fax,hard,7,BLOOD_TYPING_RH;CBC_PLT;HBSAG_SCREENING;OGTT;PREGNANCY_TEST;URINALYSIS;VDRL_RPR,Blood Typing/Rh;CBC with Platelet Count;HBsAg Screening;OGTT;Pregnancy Test;Urinalysis;VDRL / RPR,,OGTT=g100;PREGNANCY_TEST=serum,,false,false,,1,circle_around_label,prenatal,media/0000048_fax.png
0000049,tpl_01_onecol_sans,fax,hard,2,CBC_PLT;URINALYSIS,CBC w/ Platelet Count;Urinalysis,,,,false,false,,0,tick_in_box,sparse,media/0000049_fax.png
0000050,tpl_02_twocol_serif,clean,easy,7,CBC_PLT;CREATININE;ECG_12L;ELECTROLYTES;PTT;PT_PROTHROMBIN;XR_CHEST_PA_L,"CBC/PC;Creatinine;Electrocardiogram;Serum Electrolytes (Na, K, Cl);PTT (Partial Thromboplastin);PT (Prothrombin Time);Chest PA / L",,,,false,false,,1,tick_in_box,preoperative_clearance,media/0000050_clean.png
0000051,tpl_02_twocol_serif,clean,easy,5,ALP;BILI_PANEL;HBSAG_SCREENING;LIVER_PROFILE;US_HBT,ALP (Alkaline Phosphatase);Bilirubins;HBsAg Screening;Liver Profile;HBT,,,,false,false,,0,circle_around_label,liver_evaluation,media/0000051_clean.png
0000052,tpl_02_twocol_serif,clean,easy,3,HBSAG_SCREENING;LIVER_PROFILE;VDRL_RPR,HBsAg Screening;Liver Profile;VDRL/RPR,,,,false,false,,0,tick_overflowing,hepatitis_screen,media/0000052_clean.png
0000053,tpl_02_twocol_serif,clean,easy,4,BUN;FBS;LIPID_PROFILE;URINALYSIS,BUN;FBS (Fasting Blood Sugar);Lipid Profile;Urinalysis,HBA1C,,,false,false,,0,cross,diabetes_monitoring,media/0000053_clean.png
0000054,tpl_02_twocol_serif,clean,easy,8,BUN;CBC_PLT;CREATININE;ECG_12L;PTT;PT_PROTHROMBIN;URINALYSIS;XR_CHEST_PA_L,BUN;CBC w/ PLT CT;Creatinine;Electrocardiogram;PTT (Partial Thromboplastin);PT (Prothrombin);Urinalysis;Chest PA/L,,,,false,false,,1,tick_in_box,preoperative_clearance,media/0000054_clean.png
0000055,tpl_02_twocol_serif,clean,easy,2,FT3;FT4,FT3;FT4,TSH;US_THYROID,,,false,false,,0,tick_in_box,thyroid_workup,media/0000055_clean.png
0000056,tpl_02_twocol_serif,clean,easy,6,BLOOD_TYPING_RH;HBSAG_SCREENING;OGTT_75G;PREGNANCY_TEST;URINALYSIS;VDRL_RPR,Blood Typing/Rh;HBsAg Screening;OGTT (75 Grams);Pregnancy Test;Urinalysis;VDRL,,PREGNANCY_TEST=urine,,false,false,,0,tick_overflowing,prenatal,media/0000056_clean.png
0000057,tpl_02_twocol_serif,clean,easy,4,FBS;HBA1C;LIPID_PROFILE;URINALYSIS,Fasting Blood Sugar;HbA1c;Lipid Profile;Urinalysis,,,,false,false,,0,tick_overflowing,diabetes_monitoring,media/0000057_clean.png
0000058,tpl_02_twocol_serif,clean,easy,6,BUN;CA_SERUM;CREATININE;ELECTROLYTES;URIC_ACID;URINALYSIS,"BUN;Calcium (Ca);Creatinine;Serum Electrolytes (Na, K, Cl);BUA;Urinalysis (UA)",,,,false,false,,1,circle_around_box,renal_panel,media/0000058_clean.png
0000059,tpl_02_twocol_serif,clean,easy,4,CBC_PLT;FBS;URINALYSIS;XR_CHEST_PA_L,CBC w/ Platelet Count;FBS;Urinalysis;Chest PA / L,,,,false,false,,0,tick_in_box,annual_physical,media/0000059_clean.png
0000060,tpl_02_twocol_serif,scan,easy,1,HBSAG_SCREENING,HBsAg Screening,LIVER_PROFILE,,,false,false,,0,tick_overflowing,hepatitis_screen,media/0000060_scan.png
0000061,tpl_02_twocol_serif,scan,easy,5,CPK_TOTAL;ECG_12L;ECHO_2D;LDH;XR_CHEST_PA_L,Total CPK;12-lead ECG;2DED;LDH;Chest PA/L,,,,false,false,,1,tick_in_box,cardiac_chest_pain,media/0000061_scan.png
0000062,tpl_02_twocol_serif,scan,easy,5,ALP;BILI_PANEL;HBSAG_SCREENING;LIVER_PROFILE;US_HBT,"Alkaline Phosphatase;Bilirubin (TB, DB, IB);HBsAg Screening;Liver Profile;HBT",,,,false,false,,0,cross,liver_evaluation,media/0000062_scan.png
0000063,tpl_02_twocol_serif,scan,easy,7,CPK_TOTAL;CT_CHEST;ECG_12L;ECHO_2D;LDH;TROPONIN_I;XR_CHEST_PA_L,Total CPK;Chest CT;12L ECG;2D Echo;LD;Troponin-I;Chest PA / L,,,,false,false,,0,tick_overflowing,cardiac_chest_pain,media/0000063_scan.png
0000064,tpl_02_twocol_serif,scan,easy,9,BUN;CBC_PLT;CREATININE;ECG_12L;ELECTROLYTES;PTT;PT_PROTHROMBIN;URINALYSIS;XR_CHEST_PA_L,"BUN;CBC + PLT;Creatinine;Electrocardiogram;Serum Electrolytes (Na, K, Cl);PTT (Partial Thromboplastin);PT (Prothrombin);Routine Urinalysis;Chest PA and lateral",,,,false,false,,1,filled_scribble,preoperative_clearance,media/0000064_scan.png
0000065,tpl_02_twocol_serif,scan,easy,7,CPK_TOTAL;CT_CHEST;ECG_12L;ECHO_2D;LDH;TROPONIN_I;XR_CHEST_PA_L,Total CPK;Chest CT;12-lead ECG;2D Echo;LD;Troponin-I;Chest PA-L,,,,false,false,,1,circle_around_label,cardiac_chest_pain,media/0000065_scan.png
0000066,tpl_02_twocol_serif,scan,easy,4,FT3;FT4;TSH;US_THYROID,FT3;FT4;Thyroid Stimulating Hormone;Thyroid,,,,false,false,,1,tick_in_box,thyroid_workup,media/0000066_scan.png
0000067,tpl_02_twocol_serif,scan,easy,4,CT_CHEST;ECG_12L;ECHO_2D;LDH,Chest CT;12L ECG;2D Echocardiogram;Lactate Dehydrogenase,,,,false,false,,0,tick_in_box,cardiac_chest_pain,media/0000067_scan.png
0000068,tpl_02_twocol_serif,scan,easy,9,BUN;CBC_PLT;CREATININE;ECG_12L;ELECTROLYTES;PTT;PT_PROTHROMBIN;URINALYSIS;XR_CHEST_PA_L,"BUN;CBC w/ PLT CT;Creatinine;12-lead ECG;Serum Electrolytes (Na, K, Cl);PTT (Partial Thromboplastin);PT (Prothrombin);Urinalysis;Chest PA-L",,,,false,false,,0,filled_scribble,preoperative_clearance,media/0000068_scan.png
0000069,tpl_02_twocol_serif,scan,easy,7,BUN;CBC_PLT;ECG_12L;ELECTROLYTES;PTT;PT_PROTHROMBIN;XR_CHEST_PA_L,"BUN;CBC with Platelet Count;12-lead ECG;Serum Electrolytes (Na, K, Cl);PTT (Partial Thromboplastin);PT (Prothrombin);Chest PA / L",,,,false,false,,2,tick_in_box,preoperative_clearance,media/0000069_scan.png
0000070,tpl_02_twocol_serif,photocopy_gen1,medium,5,ALP;BILI_PANEL;HBSAG_SCREENING;LIVER_PROFILE;US_HBT,"ALP (Alkaline Phosphatase);Bilirubin (TBil, B1, B2);HBsAg Screening;Liver Profile;HBT (Liver)",,,,false,false,,1,circle_around_label,liver_evaluation,media/0000070_photocopy_gen1.png
0000071,tpl_02_twocol_serif,photocopy_gen1,medium,18,ALP;BUN;CBC_PLT;CREATININE;ECG_12L;ELECTROLYTES;FBS;FECALYSIS;FT4;HBA1C;HBSAG_SCREENING;LIPID_PROFILE;LIVER_PROFILE;TSH;URIC_ACID;URINALYSIS;VDRL_RPR;XR_CHEST_PA_L,"Alkaline Phosphatase;BUN;CBC w/ PLT CT;Creatinine;12L ECG;Serum Electrolytes (Na, K, Cl);FBS;Fecalysis;FT4;HbA1c;HBsAg Screen;Lipid Profile;Liver Profile;Thyrotropin;BUA;Urinalysis;VDRL/RPR;Chest PA and lateral",,,,false,false,,0,tick_overflowing,broad,media/0000071_photocopy_gen1.png
0000072,tpl_02_twocol_serif,photocopy_gen1,medium,5,FT3;FT4;PT_PROTHROMBIN;TSH;US_THYROID,FT3;FT4;PT (Prothrombin Time);TSH;Thyroid,,,,false,false,,0,tick_in_box,thyroid_workup,media/0000072_photocopy_gen1.png
0000073,tpl_02_twocol_serif,photocopy_gen1,medium,6,BUN;CA_SERUM;CREATININE;ELECTROLYTES;URIC_ACID;URINALYSIS,"BUN;Calcium (Ca);Creatinine;Serum Electrolytes (Na, K, Cl);BUA;Urinalysis",,CA_SERUM=total,,false,false,,0,tick_in_box,renal_panel,media/0000073_photocopy_gen1.png
0000074,tpl_02_twocol_serif,photocopy_gen1,medium,10,BUN;CBC_PLT;CREATININE;ECG_12L;ELECTROLYTES;PTT;PT_PROTHROMBIN;T4;URINALYSIS;XR_CHEST_PA_L,"BUN;CBC with Platelet Count;Creat;12L ECG;Serum Electrolytes (Na, K, Cl);PTT (Partial Thromboplastin);Prothrombin Time;T4;Urinalysis;Chest PA / L",,,,false,false,,0,tick_overflowing,preoperative_clearance,media/0000074_photocopy_gen1.png
0000075,tpl_02_twocol_serif,photocopy_gen1,medium,9,BUN;CBC_PLT;CREATININE;ECG_12L;ELECTROLYTES;PTT;PT_PROTHROMBIN;URINALYSIS;XR_CHEST_PA_L,"BUN;CBC w/ PLT;Creatinine;12L ECG;Serum Electrolytes (Na, K, Cl);PTT (Partial Thromboplastin);PT (Prothrombin Time);Urinalysis;Chest PA and lateral",,,,false,false,,0,tick_in_box,preoperative_clearance,media/0000075_photocopy_gen1.png
0000076,tpl_02_twocol_serif,photocopy_gen1,medium,6,BUN;CA_SERUM;CREATININE;ELECTROLYTES;URIC_ACID;URINALYSIS,"BUN;Calcium (Ca);Creatinine;Serum Electrolytes (Na, K, Cl);BUA;Urinalysis",,CA_SERUM=total,,false,false,,2,tick_in_box,renal_panel,media/0000076_photocopy_gen1.png
0000077,tpl_02_twocol_serif,photocopy_gen1,medium,3,FBS;HBA1C;URINALYSIS,FBS;HbA1c;Urinalysis (Routine),CREATININE,,,false,false,,0,diagonal_slash,diabetes_monitoring,media/0000077_photocopy_gen1.png
0000078,tpl_02_twocol_serif,photocopy_gen1,medium,6,BLOOD_TYPING_RH;HBSAG_SCREENING;OGTT_75G;PREGNANCY_TEST;URINALYSIS;VDRL_RPR,Blood Typing/Rh;HBsAg Screening;OGTT (75 Grams);Pregnancy Test;Urinalysis;VDRL / RPR,,,,false,false,,0,diagonal_slash,prenatal,media/0000078_photocopy_gen1.png
0000079,tpl_02_twocol_serif,photocopy_gen1,medium,9,BUN;CBC_PLT;CREATININE;ECG_12L;ELECTROLYTES;PTT;PT_PROTHROMBIN;URINALYSIS;XR_CHEST_PA_L,"Blood Urea Nitrogen;CBC w/ PLT;Creatinine;12-lead ECG;Serum Electrolytes (Na, K, Cl);PTT (Partial Thromboplastin);PT (Prothrombin Time);Urinalysis;Chest PA / L",,,,false,false,,0,cross,preoperative_clearance,media/0000079_photocopy_gen1.png
0000080,tpl_02_twocol_serif,photocopy_gen3,hard,9,BUN;CBC_PLT;CREATININE;ECG_12L;ELECTROLYTES;PTT;PT_PROTHROMBIN;URINALYSIS;VDRL_RPR,"Blood Urea Nitrogen;CBC w/ Platelet Count;Creatinine;Electrocardiogram;Serum Electrolytes (Na, K, Cl);PTT (Partial Thromboplastin);Protime;Urinalysis;VDRL",,,,false,false,,0,cross,preoperative_clearance,media/0000080_photocopy_gen3.png
